2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:31 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:40 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-29 20:35:33 | INFO | services.trader_manager:load_traders_from_database:43 | 📋 总共加载 10 个交易员配置
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:35 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:12:18 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 总共加载 10 个交易员配置
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:35 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:44 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:15:21 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 总共加载 10 个交易员配置
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:35 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:46 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:16:24 | INFO | services.trader_manager:load_traders_from_database:53 | 📋 总共加载 10 个交易员配置
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:36 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:17:47 | INFO | services.trader_manager:load_traders_from_database:54 | 📋 总共加载 10 个交易员配置
2025-11-30 11:17:47 | WARNING | services.trader_manager:_load_single_trader:131 | ⚠️ 交易员 Trader Kappa 的交易所 Gate.io Main 未启用，跳过
2025-11-30 11:17:47 | INFO | services.trader_manager:_load_single_trader:168 | ✓ 交易员 Trader Alpha 启用 COIN POOL 信号源: https://api.example.com/coin-pool/user1
2025-11-30 11:17:47 | INFO | services.trader_manager:_load_single_trader:173 | ✓ 交易员 Trader Alpha 启用 OI TOP 信号源: https://api.example.com/oi-top/user1
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:36 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:18:41 | INFO | services.trader_manager:load_traders_from_database:54 | 📋 总共加载 10 个交易员配置
2025-11-30 11:18:41 | WARNING | services.trader_manager:_load_single_trader:185 | ⚠️ 交易员 Trader Kappa 的交易所 Gate.io Main 未启用，跳过
2025-11-30 11:18:41 | INFO | services.trader_manager:_load_single_trader:222 | ✓ 交易员 Trader Alpha 启用 COIN POOL 信号源: https://api.example.com/coin-pool/user1
2025-11-30 11:18:41 | INFO | services.trader_manager:_load_single_trader:227 | ✓ 交易员 Trader Alpha 启用 OI TOP 信号源: https://api.example.com/oi-top/user1
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:36 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:21:24 | INFO | services.trader_manager:load_traders_from_database:54 | 📋 总共加载 10 个交易员配置
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:36 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:22:19 | INFO | services.trader_manager:load_traders_from_database:54 | 📋 总共加载 10 个交易员配置
2025-11-30 11:22:19 | WARNING | services.trader_manager:_load_single_trader:254 | ⚠️ 交易员 Trader Kappa 的交易所 Gate.io Main 未启用，跳过
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:36 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:23:55 | INFO | services.trader_manager:load_traders_from_database:54 | 📋 总共加载 10 个交易员配置
2025-11-30 11:23:55 | WARNING | services.trader_manager:_load_single_trader:254 | ⚠️ 交易员 Trader Kappa 的交易所 Gate.io Main 未启用，跳过
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:36 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 44444444-4444-4444-4444-444444444444: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 55555555-5555-5555-5555-555555555555: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 66666666-6666-6666-6666-666666666666: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 77777777-7777-7777-7777-777777777777: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 88888888-8888-8888-8888-888888888888: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 99999999-9999-9999-9999-999999999999: 1 个交易员
2025-11-30 11:25:02 | INFO | services.trader_manager:load_traders_from_database:54 | 📋 总共加载 10 个交易员配置
2025-11-30 11:25:02 | WARNING | services.trader_manager:_load_single_trader:254 | ⚠️ 交易员 Trader Kappa 的交易所 Gate.io Main 未启用，跳过
2025-11-30 11:26:07 | INFO | services.trader_manager:load_traders_from_database:36 | 📋 发现 10 个用户，开始加载所有交易员配置...
2025-11-30 11:26:07 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa: 1 个交易员
2025-11-30 11:26:07 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 11111111-1111-1111-1111-111111111111: 1 个交易员
2025-11-30 11:26:07 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 22222222-2222-2222-2222-222222222222: 1 个交易员
2025-11-30 11:26:07 | INFO | services.trader_manager:load_traders_from_database:47 | 📋 用户 33333333-3333-3333-3333-333333333333: 1 个交易员
